date,name_ta_rep,province_rep,city_rep,school_rep,repeat_index,name_first_learner,name_second_learner,name_full,letters_correct_a1,letters_correct,submission_date,assessment_phase
3/11/25,Ta 139,,Gqeberha,School 10,5,a,b,Learner 7356,11,11,3/11/25,Initial
3/11/25,Ta 139,,Gqeberha,School 10,4,a,b,Learner 3384,19,19,3/11/25,Initial
3/11/25,Ta 139,,Gqeberha,School 10,11,a,b,Learner 7925,20,20,3/11/25,Initial
3/11/25,Ta 139,,Gqeberha,School 10,8,a,b,Learner 8221,20,20,3/11/25,Initial
3/11/25,Ta 139,,Gqeberha,School 10,6,a,b,Learner 4527,22,22,3/11/25,Initial
3/11/25,Ta 139,,Gqeberha,School 10,1,a,b,Learner 2815,50,50,3/11/25,Initial
3/11/25,Ta 139,,Gqeberha,School 10,7,a,b,Learner 2070,52,52,3/11/25,Initial
3/11/25,Ta 139,,Gqeberha,School 10,9,a,b,Learner 1425,60,60,3/11/25,Initial
3/11/25,Ta 139,,Gqeberha,School 10,2,a,b,Learner 5832,60,60,3/11/25,Initial
3/11/25,Ta 139,,Gqeberha,School 10,10,a,b,Learner 7270,60,60,3/11/25,Initial
3/12/25,Ta 326,eastern_cape,Gqeberha,School 10,6,a,b,Learner 1483,0,0,3/12/25,Initial
3/17/25,Ta 328,eastern_cape,Gqeberha,School 10,7,a,b,Learner 2641,0,0,3/17/25,Initial
3/17/25,Ta 328,eastern_cape,Gqeberha,School 10,6,a,b,Learner 2821,0,0,3/17/25,Initial
3/12/25,Ta 326,eastern_cape,Gqeberha,School 10,9,a,b,Learner 2916,0,0,3/12/25,Initial
3/12/25,Ta 326,eastern_cape,Gqeberha,School 10,2,a,b,Learner 293,0,0,3/12/25,Initial
3/17/25,Ta 328,eastern_cape,Gqeberha,School 10,4,a,b,Learner 3929,0,0,3/17/25,Initial
3/12/25,Ta 326,eastern_cape,Gqeberha,School 10,11,a,b,Learner 4303,0,0,3/12/25,Initial
3/12/25,Ta 326,eastern_cape,Gqeberha,School 10,10,a,b,Learner 5074,0,0,3/12/25,Initial
3/12/25,Ta 326,eastern_cape,Gqeberha,School 10,7,a,b,Learner 5382,0,0,3/12/25,Initial
3/12/25,Ta 326,eastern_cape,Gqeberha,School 10,3,a,b,Learner 6712,0,0,3/12/25,Initial
3/17/25,Ta 328,eastern_cape,Gqeberha,School 10,1,a,b,Learner 1867,1,1,3/17/25,Initial
3/17/25,Ta 328,eastern_cape,Gqeberha,School 10,3,a,b,Learner 2260,1,1,3/17/25,Initial
